form_id,lexeme,cell,source_form,orth_form,phon_form,analysed_orth_form,analysed_phon_form,paradigm_tag,overabundance_tag,source,page,language_id
pangkhua001,no_stem,1.sg,kəi,kəi,k ə i,kəi,k ə i,default,,Akter2016Endangerment,17,pangkhua
pangkhua002,no_stem,1.du,kəi-ni,kəini,k ə i n i,kəi+ni,k ə i + n i,default,,Akter2016Endangerment,17,pangkhua
pangkhua003,no_stem,1.pl,kəi-ni-hou,kəinihou,k ə i n i h o u,kəi+ni+hou,k ə i + n i + h o u,default,,Akter2016Endangerment,17,pangkhua
pangkhua004,no_stem,2.sg,naŋ,naŋ,n a ŋ,naŋ,n a ŋ,default,,Akter2016Endangerment,17,pangkhua
pangkhua005,no_stem,2.du,naŋ-ni,naŋni,n a ŋ n i,naŋ+ni,n a ŋ + n i,default,,Akter2016Endangerment,17,pangkhua
pangkhua006,no_stem,2.pl,naŋ-ni-hou,naŋnihou,n a ŋ n i h o u,naŋ+ni+hou,n a ŋ + n i + h o u,default,,Akter2016Endangerment,17,pangkhua
pangkhua007,no_stem,3.sg,anih,anih,a n i h,anih,a n i h,default,,Akter2016Endangerment,17,pangkhua
pangkhua008,no_stem,3.du,ani,ani,a n i,ani,a n i,default,,Akter2016Endangerment,17,pangkhua
pangkhua009,no_stem,3.pl,ani-hou,anihou,a n i h o u,ani+hou,a n i + h o u,default,,Akter2016Endangerment,17,pangkhua
pangkhua010,kal,1.sg.fut.aff,kə=kal=at̪,kəΣat,k ə Σ a t,kə+Σ+at,k ə + Σ + a t,default,,Akter2025Pangkhua,250525,pangkhua
pangkhua011,kal,1.pl.fut.aff,kən=kal=at̪,kənΣat,k ə n Σ a t,kə+n+Σ+at,k ə + n + Σ + a t,default,,Akter2025Pangkhua,250525,pangkhua
pangkhua012,muh,1.sg.2.sg.fut.aff,kə=muʔ=at̪=ne,kəΣatne,k ə Σ a t n e,kə+Σ+at+ne,k ə + Σ + a t + n e,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua013,muh,1.sg.2.pl.fut.aff,kə=muʔ=at̪=ei=ne,kəΣateine,k ə Σ a t ei n e,kə+Σ+at+ei+ne,k ə + Σ + a t + ei + n e,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua014,muh,1.pl.2.sg.fut.aff,kən=muʔ=at̪=ne,kənΣatne,k ə n Σ a t n e,kə+n+Σ+at+ne,k ə + n + Σ + a t + n e,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua015,muh,1.pl.2.pl.fut.aff,kən=muʔ=at̪=ei=ne,kənΣateine,k ə n Σ a t ei n e,kə+n+Σ+at+ei+ne,k ə + n + Σ + a t + ei + n e,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua016,muh,1.sg.3.sg.fut.aff,kə=muʔ=at̪,kəΣat,k ə Σ a t,kə+Σ+at,k ə + Σ + a t,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua017,muh,1.sg.3.pl.fut.aff,kə=muʔ=at̪=ei,kəΣatei,k ə Σ a t ei,kə+Σ+at+ei,k ə + Σ + a t + ei,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua018,muh,1.pl.3.sg.fut.aff,kən=muʔ=at̪,kənΣat,k ə n Σ a t,kə+n+Σ+at,k ə + n + Σ + a t,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua019,muh,1.pl.3.pl.fut.aff,kən=muʔ=at̪=ei,kənΣatei,k ə n Σ a t ei,kə+n+Σ+at+ei,k ə + n + Σ + a t + ei,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua020,kal,2.sg.fut.aff,nə=kal=at̪,nəΣat,n ə Σ a t,nə+Σ+at,n ə + Σ + a t,default,,Akter2025Pangkhua,250525,pangkhua
pangkhua021,kal,2.pl.fut.aff,nən=kal=at̪,nənΣat,n ə n Σ a t,nə+n+Σ+at,n ə + n + Σ + a t,default,,Akter2025Pangkhua,250525,pangkhua
pangkhua022,muh,2.sg.1.sg.fut.aff,nə=hɒŋ=muʔ=at̪,nəhɒŋΣat,n ə h ɒ ŋ Σ a t,nə+hɒŋ+Σ+at,n ə + h ɒ ŋ + Σ + a t,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua023,muh,2.sg.1.pl.fut.aff,nə=hɒŋ=muʔ=at̪=ne,nəhɒŋΣatne,n ə h ɒ ŋ Σ a t n e,nə+hɒŋ+Σ+at+ne,n ə + h ɒ ŋ + Σ + a t + n e,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua024,muh,2.pl.1.sg.fut.aff,nən=hɒŋ=muʔ=at̪,nənhɒŋΣat,n ə n h ɒ ŋ Σ a t,nə+n+hɒŋ+Σ+at,n ə + n + h ɒ ŋ + Σ + a t,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua025,muh,2.pl.1.pl.fut.aff,nən=hɒŋ=muʔ=at̪=ei,nənhɒŋΣatei,n ə n h ɒ ŋ Σ a t ei,nə+n+hɒŋ+Σ+at+ei,n ə + n + h ɒ ŋ + Σ + a t + ei,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua026,muh,2.sg.3.sg.fut.aff,nə=muʔ=at̪,nəΣat,n ə Σ a t,nə+Σ+at,n ə + Σ + a t,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua027,muh,2.sg.3.pl.fut.aff,nə=muʔ=at̪=ei,nəΣatei,n ə Σ a t ei,nə+Σ+at+ei,n ə + Σ + a t + ei,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua028,muh,2.pl.3.sg.fut.aff,nən=muʔ=at̪,nənΣat,n ə n Σ a t,nə+n+Σ+at,n ə + n + Σ + a t,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua029,muh,2.pl.3.pl.fut.aff,nən=muʔ=at̪=ei,nənΣatei,n ə n Σ a t ei,nə+n+Σ+at+ei,n ə + n + Σ + a t + ei,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua030,kal,3.sg.fut.aff,ə=kal=at̪,əΣat,ə Σ a t,ə+Σ+at,ə + Σ + a t,default,,Akter2025Pangkhua,250525,pangkhua
pangkhua031,kal,3.pl.fut.aff,ən=kal=at̪,ənΣat,ə n Σ a t,ə+n+Σ+at,ə + n + Σ + a t,default,,Akter2025Pangkhua,250525,pangkhua
pangkhua032,muh,3.sg.1.sg.fut.aff,ə=hɒŋ=muʔ=at̪,əhɒŋΣat,ə h ɒ ŋ Σ a t,ə+hɒŋ+Σ+at,ə + h ɒ ŋ + Σ + a t,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua033,muh,3.sg.1.pl.fut.aff,ə=hɒŋ=muʔ=at̪=ei,əhɒŋΣatei,ə h ɒ ŋ Σ a t ei,ə+hɒŋ+Σ+at+ei,ə + h ɒ ŋ + Σ + a t + ei,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua034,muh,3.pl.1.sg.fut.aff,ən=hɒŋ=muʔ=at̪,ənhɒŋΣat,ə n h ɒ ŋ Σ a t,ə+n+hɒŋ+Σ+at,ə + n + h ɒ ŋ + Σ + a t,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua035,muh,3.pl.1.pl.fut.aff,ən=hɒŋ=muʔ=at̪=ei,ənhɒŋΣatei,ə n h ɒ ŋ Σ a t ei,ə+n+hɒŋ+Σ+at+ei,ə + n + h ɒ ŋ + Σ + a t + ei,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua036,muh,3.sg.2.sg.fut.aff,ə=muʔ=at̪=ne,əΣatne,ə Σ a t n e,ə+Σ+at+ne,ə + Σ + a t + n e,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua037,muh,3.sg.2.pl.fut.aff,ə=muʔ=at̪=ei=ne,əΣateine,ə Σ a t ei n e,ə+Σ+at+ei+ne,ə + Σ + a t + ei + n e,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua038,muh,3.pl.2.sg.fut.aff,ən=muʔ=at̪=ne,ənΣatne,ə n Σ a t n e,ə+n+Σ+at+ne,ə + n + Σ + a t + n e,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua039,muh,3.pl.2.pl.fut.aff,ən=muʔ=at̪ =ei=ne,ənΣateine,ə n Σ a t ei n e,ə+n+Σ+at+ei+ne,ə + n + Σ + a t + ei + n e,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua040,muh,3.sg.3.sg.fut.aff,ə=muʔ=at̪,əΣat,ə Σ a t,ə+Σ+at,ə + Σ + a t,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua041,muh,3.sg.3.pl.fut.aff,ə=muʔ=at̪=ei,əΣatei,ə Σ a t ei,ə+Σ+at+ei,ə + Σ + a t + ei,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua042,muh,3.pl.3.sg.fut.aff,ən=muʔ=at̪,ənΣat,ə n Σ a t,ə+n+Σ+at,ə + n + Σ + a t,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua043,muh,3.pl.3.pl.fut.aff,ən=muʔ=at̪=ei,ənΣatei,ə n Σ a t ei,ə+n+Σ+at+ei,ə + n + Σ + a t + ei,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua044,kal,1.sg.fut.neg,kə=kal=at̪=lo,kəΣatlo,k ə Σ a t l o,kə+Σ+at+lo,k ə + Σ + a t + l o,default,,Akter2025Pangkhua,250525,pangkhua
pangkhua045,kal,1.pl.fut.neg,kən=kal=at̪=lo,kənΣatlo,k ə n Σ a t l o,kə+n+Σ+at+lo,k ə + n + Σ + a t + l o,default,,Akter2025Pangkhua,250525,pangkhua
pangkhua046,muh,1.sg.2.sg.fut.neg,kə=muʔ=at̪=ne=lo,kəΣatnelo,k ə Σ a t n e l o,kə+Σ+at+ne+lo,k ə + Σ + a t + n e + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua047,muh,1.sg.2.pl.fut.neg,kə=muʔ=at̪=ei=ne=lo,kəΣateinelo,k ə Σ a t ei n e l o,kə+Σ+at+ei+ne+lo,k ə + Σ + a t + ei + n e + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua048,muh,1.sg.3.pl.fut.neg,kə=muʔ=at̪=ei=lo,kəΣateilo,k ə Σ a t ei l o,kə+Σ+at+ei+lo,k ə + Σ + a t + ei + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua049,muh,1.pl.2.sg.fut.neg,kən=muʔ=at̪=ne=lo,kənΣatnelo,k ə n Σ a t n e l o,kə+n+Σ+at+ne+lo,k ə + n + Σ + a t + n e + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua050,muh,1.pl.2.pl.fut.neg,kən=muʔ=ei=ne=lo,kənΣateinelo,k ə n Σ a t ei n e l o,kə+n+Σ+at+ei+ne+lo,k ə + n + Σ + a t + ei + n e + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua051,muh,1.sg.3.sg.fut.neg,kə=muʔ=at̪=lo,kəΣatlo,k ə Σ a t l o,kə+Σ+at+lo,k ə + Σ + a t + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua052,muh,1.pl.3.sg.fut.neg,kən=muʔ=at̪=lo,kənΣatlo,k ə n Σ a t l o,kə+n+Σ+at+lo,k ə + n + Σ + a t + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua053,muh,1.pl.3.pl.fut.neg,kən=muʔ=at̪=ei=lo,kənΣateilo,k ə n Σ a t ei l o,kə+n+Σ+at+ei+lo,k ə + n + Σ + a t + ei + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua054,kal,2.sg.fut.neg,nə=kal=at̪=lo,nəΣatlo,n ə Σ a t l o,nə+Σ+at+lo,n ə + Σ + a t + l o,default,,Akter2025Pangkhua,250525,pangkhua
pangkhua055,kal,2.pl.fut.neg,nən=kal=at̪=lo,nənΣatlo,n ə n Σ a t l o,nə+n+Σ+at+lo,n ə + n + Σ + a t + l o,default,,Akter2025Pangkhua,250525,pangkhua
pangkhua056,muh,2.sg.1.sg.fut.neg,nə=hɒŋ=muʔ=at̪=lo,nəhɒŋΣatlo,n ə h ɒ ŋ Σ a t l o,nə+hɒŋ+Σ+at+lo,n ə + h ɒ ŋ + Σ + a t + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua057,muh,2.sg.1.pl.fut.neg,nə=hɒŋ=muʔ=at̪=ei=lo,nəhɒŋΣateilo,n ə h ɒ ŋ Σ a t ei l o,nə+hɒŋ+Σ+at+ei+lo,n ə + h ɒ ŋ + Σ + a t + ei + l o,default,,Akter2025Pangkhua,250430,pangkhua
