morph_id,morph,position,in_cells,in_forms,language_id
pangkhuaM01,a n i,free,3.du; 3.pl,pangkhua008; pangkhua009,pangkhua
pangkhuaM02,a n i h,free,3.sg,pangkhua007,pangkhua
pangkhuaM03,a t,post,1.sg.fut.aff; 1.pl.fut.aff; 1.sg.2.sg.fut.aff; 1.sg.2.pl.fut.aff; 1.pl.2.sg.fut.aff; 1.pl.2.pl.fut.aff; 1.sg.3.sg.fut.aff; 1.sg.3.pl.fut.aff; 1.pl.3.sg.fut.aff; 1.pl.3.pl.fut.aff; 2.sg.fut.aff; 2.pl.fut.aff; 2.sg.1.sg.fut.aff; 2.sg.1.pl.fut.aff; 2.pl.1.sg.fut.aff; 2.pl.1.pl.fut.aff; 2.sg.3.sg.fut.aff; 2.sg.3.pl.fut.aff; 2.pl.3.sg.fut.aff; 2.pl.3.pl.fut.aff; 3.sg.fut.aff; 3.pl.fut.aff; 3.sg.1.sg.fut.aff; 3.sg.1.pl.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.pl.fut.aff; 3.sg.2.sg.fut.aff; 3.sg.2.pl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.sg.3.sg.fut.aff; 3.sg.3.pl.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.pl.fut.aff; 1.sg.fut.neg; 1.pl.fut.neg; 1.sg.2.sg.fut.neg; 1.sg.2.pl.fut.neg; 1.sg.3.pl.fut.neg; 1.pl.2.sg.fut.neg; 1.pl.2.pl.fut.neg; 1.sg.3.sg.fut.neg; 1.pl.3.sg.fut.neg; 1.pl.3.pl.fut.neg; 2.sg.fut.neg; 2.pl.fut.neg; 2.sg.1.sg.fut.neg; 2.sg.1.pl.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.pl.fut.neg; 2.sg.3.sg.fut.neg; 2.sg.3.pl.fut.neg; 2.pl.3.sg.fut.neg; 2.pl.3.pl.fut.neg; 3.sg.fut.neg; 3.pl.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.pl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.fut.neg; 3.sg.2.sg.fut.neg; 3.sg.2.pl.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.pl.fut.neg; 3.sg.3.sg.fut.neg; 3.sg.3.pl.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.pl.fut.neg,pangkhua010; pangkhua011; pangkhua012; pangkhua013; pangkhua014; pangkhua015; pangkhua016; pangkhua017; pangkhua018; pangkhua019; pangkhua020; pangkhua021; pangkhua022; pangkhua023; pangkhua024; pangkhua025; pangkhua026; pangkhua027; pangkhua028; pangkhua029; pangkhua030; pangkhua031; pangkhua032; pangkhua033; pangkhua034; pangkhua035; pangkhua036; pangkhua037; pangkhua038; pangkhua039; pangkhua040; pangkhua041; pangkhua042; pangkhua043; pangkhua044; pangkhua045; pangkhua046; pangkhua047; pangkhua048; pangkhua049; pangkhua050; pangkhua051; pangkhua052; pangkhua053; pangkhua054; pangkhua055; pangkhua056; pangkhua057; pangkhua058; pangkhua059; pangkhua060; pangkhua061; pangkhua062; pangkhua063; pangkhua064; pangkhua065; pangkhua066; pangkhua067; pangkhua068; pangkhua069; pangkhua070; pangkhua071; pangkhua072; pangkhua073; pangkhua074; pangkhua075; pangkhua076; pangkhua077,pangkhua
pangkhuaM04,ei,post,1.sg.2.pl.fut.aff; 1.pl.2.pl.fut.aff; 1.sg.3.pl.fut.aff; 1.pl.3.pl.fut.aff; 2.pl.1.pl.fut.aff; 2.sg.3.pl.fut.aff; 2.pl.3.pl.fut.aff; 3.sg.1.pl.fut.aff; 3.pl.1.pl.fut.aff; 3.sg.2.pl.fut.aff; 3.pl.2.pl.fut.aff; 3.sg.3.pl.fut.aff; 3.pl.3.pl.fut.aff; 1.sg.2.pl.fut.neg; 1.sg.3.pl.fut.neg; 1.pl.2.pl.fut.neg; 1.pl.3.pl.fut.neg; 2.sg.1.pl.fut.neg; 2.pl.1.pl.fut.neg; 2.sg.3.pl.fut.neg; 2.pl.3.pl.fut.neg; 3.sg.1.pl.fut.neg; 3.pl.1.pl.fut.neg; 3.sg.2.pl.fut.neg; 3.pl.2.pl.fut.neg; 3.sg.3.pl.fut.neg; 1.sg.2.pl.nfut.aff; 1.pl.2.pl.nfut.aff; 1.sg.3.pl.nfut.aff; 1.pl.3.pl.nfut.aff; 2.sg.1.pl.nfut.aff; 2.pl.1.pl.nfut.aff; 2.sg.3.pl.nfut.aff; 2.pl.3.pl.nfut.aff; 3.sg.1.pl.nfut.aff; 3.sg.1.pl.nfut.aff; 3.pl.1.pl.nfut.aff; 3.sg.2.pl.nfut.aff; 3.pl.2.pl.nfut.aff; 3.sg.3.pl.nfut.aff; 3.pl.3.pl.nfut.aff; 1.sg.2.pl.nfut.neg; 1.pl.2.pl.nfut.neg; 1.sg.3.pl.nfut.neg; 1.pl.3.pl.nfut.neg; 2.sg.1.pl.nfut.neg; 2.pl.1.pl.nfut.neg; 2.sg.3.pl.nfut.neg; 2.pl.3.pl.nfut.neg; 3.sg.1.pl.nfut.neg; 3.pl.1.pl.nfut.neg; 3.sg.2.pl.nfut.neg; 3.pl.2.pl.nfut.neg; 3.sg.3.pl.nfut.neg; 3.pl.3.pl.nfut.neg,pangkhua013; pangkhua015; pangkhua017; pangkhua019; pangkhua025; pangkhua027; pangkhua029; pangkhua033; pangkhua035; pangkhua037; pangkhua039; pangkhua041; pangkhua043; pangkhua047; pangkhua048; pangkhua050; pangkhua053; pangkhua057; pangkhua059; pangkhua061; pangkhua063; pangkhua067; pangkhua069; pangkhua071; pangkhua073; pangkhua075; pangkhua081; pangkhua083; pangkhua085; pangkhua087; pangkhua091; pangkhua093; pangkhua095; pangkhua097; pangkhua102; pangkhua103; pangkhua106; pangkhua108; pangkhua110; pangkhua113; pangkhua115; pangkhua119; pangkhua121; pangkhua123; pangkhua125; pangkhua129; pangkhua131; pangkhua133; pangkhua135; pangkhua139; pangkhua141; pangkhua143; pangkhua145; pangkhua147; pangkhua149,pangkhua
pangkhuaM05,h o u,free,1.pl; 2.pl; 3.pl,pangkhua003; pangkhua006; pangkhua009,pangkhua
pangkhuaM06,h ɒ ŋ,pre,2.sg.1.sg.fut.aff; 2.sg.1.pl.fut.aff; 2.pl.1.sg.fut.aff; 2.pl.1.pl.fut.aff; 3.sg.1.sg.fut.aff; 3.sg.1.pl.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.pl.fut.aff; 2.sg.1.sg.fut.neg; 2.sg.1.pl.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.pl.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.pl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.fut.neg; 2.sg.1.sg.nfut.aff; 2.sg.1.pl.nfut.aff; 2.pl.1.sg.nfut.aff; 2.pl.1.pl.nfut.aff; 3.sg.1.sg.nfut.aff; 3.sg.1.sg.nfut.aff; 3.sg.1.pl.nfut.aff; 3.sg.1.pl.nfut.aff; 3.pl.1.sg.nfut.aff; 3.pl.1.sg.nfut.aff; 3.pl.1.pl.nfut.aff; 2.sg.1.sg.nfut.neg; 2.sg.1.pl.nfut.neg; 2.pl.1.sg.nfut.neg; 2.pl.1.pl.nfut.neg; 3.sg.1.sg.nfut.neg; 3.sg.1.pl.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.pl.nfut.neg,pangkhua022; pangkhua023; pangkhua024; pangkhua025; pangkhua032; pangkhua033; pangkhua034; pangkhua035; pangkhua056; pangkhua057; pangkhua058; pangkhua059; pangkhua066; pangkhua067; pangkhua068; pangkhua069; pangkhua090; pangkhua091; pangkhua092; pangkhua093; pangkhua100; pangkhua101; pangkhua102; pangkhua103; pangkhua104; pangkhua105; pangkhua106; pangkhua128; pangkhua129; pangkhua130; pangkhua131; pangkhua138; pangkhua139; pangkhua140; pangkhua141,pangkhua
pangkhuaM07,k ə,pre,1.sg.fut.aff; 1.pl.fut.aff; 1.sg.2.sg.fut.aff; 1.sg.2.pl.fut.aff; 1.pl.2.sg.fut.aff; 1.pl.2.pl.fut.aff; 1.sg.3.sg.fut.aff; 1.sg.3.pl.fut.aff; 1.pl.3.sg.fut.aff; 1.pl.3.pl.fut.aff; 1.sg.fut.neg; 1.pl.fut.neg; 1.sg.2.sg.fut.neg; 1.sg.2.pl.fut.neg; 1.sg.3.pl.fut.neg; 1.pl.2.sg.fut.neg; 1.pl.2.pl.fut.neg; 1.sg.3.sg.fut.neg; 1.pl.3.sg.fut.neg; 1.pl.3.pl.fut.neg; 1.sg.nfut.aff; 1.pl.nfut.aff; 1.sg.2.sg.nfut.aff; 1.sg.2.pl.nfut.aff; 1.pl.2.sg.nfut.aff; 1.pl.2.pl.nfut.aff; 1.sg.3.sg.nfut.aff; 1.sg.3.pl.nfut.aff; 1.pl.3.sg.nfut.aff; 1.pl.3.pl.nfut.aff; 1.sg.nfut.neg; 1.pl.nfut.neg; 1.sg.2.sg.nfut.neg; 1.sg.2.pl.nfut.neg; 1.pl.2.sg.nfut.neg; 1.pl.2.pl.nfut.neg; 1.sg.3.sg.nfut.neg; 1.sg.3.pl.nfut.neg; 1.pl.3.sg.nfut.neg; 1.pl.3.pl.nfut.neg,pangkhua010; pangkhua011; pangkhua012; pangkhua013; pangkhua014; pangkhua015; pangkhua016; pangkhua017; pangkhua018; pangkhua019; pangkhua044; pangkhua045; pangkhua046; pangkhua047; pangkhua048; pangkhua049; pangkhua050; pangkhua051; pangkhua052; pangkhua053; pangkhua078; pangkhua079; pangkhua080; pangkhua081; pangkhua082; pangkhua083; pangkhua084; pangkhua085; pangkhua086; pangkhua087; pangkhua116; pangkhua117; pangkhua118; pangkhua119; pangkhua120; pangkhua121; pangkhua122; pangkhua123; pangkhua124; pangkhua125,pangkhua
pangkhuaM08,k ə i,free,1.sg; 1.du; 1.pl,pangkhua001; pangkhua002; pangkhua003,pangkhua
pangkhuaM09,l o,post,1.sg.fut.neg; 1.pl.fut.neg; 1.sg.2.sg.fut.neg; 1.sg.2.pl.fut.neg; 1.sg.3.pl.fut.neg; 1.pl.2.sg.fut.neg; 1.pl.2.pl.fut.neg; 1.sg.3.sg.fut.neg; 1.pl.3.sg.fut.neg; 1.pl.3.pl.fut.neg; 2.sg.fut.neg; 2.pl.fut.neg; 2.sg.1.sg.fut.neg; 2.sg.1.pl.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.pl.fut.neg; 2.sg.3.sg.fut.neg; 2.sg.3.pl.fut.neg; 2.pl.3.sg.fut.neg; 2.pl.3.pl.fut.neg; 3.sg.fut.neg; 3.pl.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.pl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.fut.neg; 3.sg.2.sg.fut.neg; 3.sg.2.pl.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.pl.fut.neg; 3.sg.3.sg.fut.neg; 3.sg.3.pl.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.pl.fut.neg; 1.sg.nfut.neg; 1.pl.nfut.neg; 1.sg.2.sg.nfut.neg; 1.sg.2.pl.nfut.neg; 1.pl.2.sg.nfut.neg; 1.pl.2.pl.nfut.neg; 1.sg.3.sg.nfut.neg; 1.sg.3.pl.nfut.neg; 1.pl.3.sg.nfut.neg; 1.pl.3.pl.nfut.neg; 2.sg.nfut.neg; 2.pl.nfut.neg; 2.sg.1.sg.nfut.neg; 2.sg.1.pl.nfut.neg; 2.pl.1.sg.nfut.neg; 2.pl.1.pl.nfut.neg; 2.sg.3.sg.nfut.neg; 2.sg.3.pl.nfut.neg; 2.pl.3.sg.nfut.neg; 2.pl.3.pl.nfut.neg; 3.sg.nfut.neg; 3.pl.nfut.neg; 3.sg.1.sg.nfut.neg; 3.sg.1.pl.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.pl.nfut.neg; 3.sg.2.sg.nfut.neg; 3.sg.2.pl.nfut.neg; 3.pl.2.sg.nfut.neg; 3.pl.2.pl.nfut.neg; 3.sg.3.sg.nfut.neg; 3.sg.3.pl.nfut.neg; 3.pl.3.sg.nfut.neg; 3.pl.3.pl.nfut.neg,pangkhua044; pangkhua045; pangkhua046; pangkhua047; pangkhua048; pangkhua049; pangkhua050; pangkhua051; pangkhua052; pangkhua053; pangkhua054; pangkhua055; pangkhua056; pangkhua057; pangkhua058; pangkhua059; pangkhua060; pangkhua061; pangkhua062; pangkhua063; pangkhua064; pangkhua065; pangkhua066; pangkhua067; pangkhua068; pangkhua069; pangkhua070; pangkhua071; pangkhua072; pangkhua073; pangkhua074; pangkhua075; pangkhua076; pangkhua077; pangkhua116; pangkhua117; pangkhua118; pangkhua119; pangkhua120; pangkhua121; pangkhua122; pangkhua123; pangkhua124; pangkhua125; pangkhua126; pangkhua127; pangkhua128; pangkhua129; pangkhua130; pangkhua131; pangkhua132; pangkhua133; pangkhua134; pangkhua135; pangkhua136; pangkhua137; pangkhua138; pangkhua139; pangkhua140; pangkhua141; pangkhua142; pangkhua143; pangkhua144; pangkhua145; pangkhua146; pangkhua147; pangkhua148; pangkhua149,pangkhua
pangkhuaM10,n,pre,1.pl.fut.aff; 1.pl.2.sg.fut.aff; 1.pl.2.pl.fut.aff; 1.pl.3.sg.fut.aff; 1.pl.3.pl.fut.aff; 2.pl.fut.aff; 2.pl.1.sg.fut.aff; 2.pl.1.pl.fut.aff; 2.pl.3.sg.fut.aff; 2.pl.3.pl.fut.aff; 3.pl.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.pl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.pl.fut.aff; 1.pl.fut.neg; 1.pl.2.sg.fut.neg; 1.pl.2.pl.fut.neg; 1.pl.3.sg.fut.neg; 1.pl.3.pl.fut.neg; 2.pl.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.pl.fut.neg; 2.pl.3.sg.fut.neg; 2.pl.3.pl.fut.neg; 3.pl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.pl.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.pl.fut.neg; 1.pl.nfut.aff; 1.pl.2.sg.nfut.aff; 1.pl.2.pl.nfut.aff; 1.pl.3.sg.nfut.aff; 1.pl.3.pl.nfut.aff; 2.pl.nfut.aff; 2.pl.1.sg.nfut.aff; 2.pl.1.pl.nfut.aff; 2.pl.3.sg.nfut.aff; 2.pl.3.pl.nfut.aff; 3.pl.nfut.aff; 3.pl.1.sg.nfut.aff; 3.pl.1.pl.nfut.aff; 3.pl.2.sg.nfut.aff; 3.pl.2.pl.nfut.aff; 3.pl.3.sg.nfut.aff; 3.pl.3.pl.nfut.aff; 1.pl.nfut.neg; 1.pl.2.sg.nfut.neg; 1.pl.2.pl.nfut.neg; 1.pl.3.sg.nfut.neg; 1.pl.3.pl.nfut.neg; 2.pl.nfut.neg; 2.pl.1.sg.nfut.neg; 2.pl.1.pl.nfut.neg; 2.pl.3.sg.nfut.neg; 2.pl.3.pl.nfut.neg; 3.pl.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.pl.nfut.neg; 3.pl.2.sg.nfut.neg; 3.pl.2.pl.nfut.neg; 3.pl.3.sg.nfut.neg; 3.pl.3.pl.nfut.neg,pangkhua011; pangkhua014; pangkhua015; pangkhua018; pangkhua019; pangkhua021; pangkhua024; pangkhua025; pangkhua028; pangkhua029; pangkhua031; pangkhua034; pangkhua035; pangkhua038; pangkhua039; pangkhua042; pangkhua043; pangkhua045; pangkhua049; pangkhua050; pangkhua052; pangkhua053; pangkhua055; pangkhua058; pangkhua059; pangkhua062; pangkhua063; pangkhua065; pangkhua068; pangkhua069; pangkhua072; pangkhua073; pangkhua076; pangkhua077; pangkhua079; pangkhua082; pangkhua083; pangkhua086; pangkhua087; pangkhua089; pangkhua092; pangkhua093; pangkhua096; pangkhua097; pangkhua099; pangkhua104; pangkhua106; pangkhua109; pangkhua110; pangkhua114; pangkhua115; pangkhua117; pangkhua120; pangkhua121; pangkhua124; pangkhua125; pangkhua127; pangkhua130; pangkhua131; pangkhua134; pangkhua135; pangkhua137; pangkhua140; pangkhua141; pangkhua144; pangkhua145; pangkhua148; pangkhua149,pangkhua
